Term,Definition,,
loss adjustment expenses,"Loss adjustment expenses are costs to the insurer that are directly attributable to settling a claims. For example, the cost of an adjuster is someone who assess the claim cost or a lawyer who becomes involve in settling an insurer's legal obligation on a claim",,
unallocated,"Unallocated loss adjustment expenses are costs that can only be indirectly attributed to claim settlement; for example, the cost of an office to support claims staff",,
allocated,"Allocated loss adjustment expenses, sometimes known by the acronym ALEA, are costs that can be directly attributed to settling a claim; for example, the cost of an adjuster",,
loss amount,"The loss amount is the size of the loss incurred by the policyholder for incurred hurt, loss, or damage that is covered by the policy.",,
analytics,Analytics is the process of using data to make decisions.,,
renters insurance,Renters insurance is an insurance policy that covers the contents of an apartment or house that you are renting.,,
automobile insurance,"An insurance policy that covers damage to your vehicle, damage to other vehicles in the accident, as well as medical expenses of those injured in the accident.",,
casualty insurance,"Causalty insurance is a form of liability insurance providing coverage for negligent acts and omissions. Examples include workers compensation, errors and omissions, fidelity, crime, glass, boiler, and various malpractice coverages.",,
valuation date,"A valuation date is the date at which a company summarizes its financial position, typically quarterly or annually.",,
underwriting,Underwriting is the process where the company makes a decision as to whether or not to take on a risk.,,
ratemaking,,,
reinsurer,A reinsurer is an insurance company that offers insurance to an insurer.,,
loss reserve,A loss reserve is an estimate of liability indicating the amount the insurer expects to pay for claims that have not yet been realized. This includes losses incurred but not yet reported (IBNR) and those claims that have been reported claims that haven't been paid (known by the acronym RBNS for reported but not settled).,,
experience rating,,,
merit rating,,,
risk classification,"Risk classification is the process of grouping policyholders into categories, or classes, where each insured in the class has a risk profile that is similar to others in the class.",,
cream skimming,,,
claims triage,,,
loss cost,"Loss cost is the total severity divided by the number of claims. It does not include insurance company expenses, premium taxes, contingencies, nor an allowance for profits. Also called pure premium. Some definitions include allocated loss adjustment expenses (ALAE).",,
rating variables,,,
coinsurance,"Coinsurance is an arrangement whereby the insured and insurer share the covered losses. Typically, a coinsurance parameter specified means that both parties receive a proportional share, e.g., 50%, of the loss.",,
personal lines,,,
bonus,,,
retrospective premiums,The process of determining the cost of an insurance policy based on the actual loss experience determined as an adjustment to the initial premium payment.,,
prospective premiums,,,
claims adjustment,"Claims adjustment is the process of determining coverage, legal liability, and settling claims.",,
claims leakage,Claims leakage respresents money lost through claims management inefficiencies.,,
fraud detection,,,
case reserve,A case reserve is an estimate of the insurer's future liability made by the claims adjuster.,,
adjuster,An adjuster is a person who investigates claims and recommends settlement options based on estimates of damage and insurance policies held.,,
capital allocation,,,
commercial insurance,insurance purchased by an insurer,,
term,The duration of an insurance contract,,
policy upper limits,Temp,,
Aggregate claims,The sum of all claims observed in a period of time,2,
Frequency,Count random variables that represent the number of claims,2.1,
Severity,"The amount, or size, of each payment for an insured event",2.1,
probability mass function (pmf) ,a function that gives the probability that a discrete random variable is exactly equal to some value,2.1,
distribution function,"the chance that the random variable is less than or equal to x, as a function of x",2.1,
survival function,the probability that the random variable takes on a value greater than a number x,2.1,
mean,average,2.1,
moments,The rth moment of a list is the average value of the random variable raised to the rth power,,
standard deviation,the square-root of variance,"2.1,3.1",
moment generating function (mgf),"the mgf of random variable N is defined the expectation of exp(tN), as a function of t",2.2,
probability generating function (pgf),"For a random variable N, its pgf is defined as the expectation of s^N, as a function of s",2.2,
convex hulls,the convex hull of a set of points X is the smallest convex set that contains X,2.2,
risk classes,The formation of different premiums for the same coverage based on each homogeneous group's characteristics.,2.2,
Binomial Distribution,"A random variable has a binomial distribution (with parameters m and q) if it is the number of ""successes"" in a fixed number m of independent random trials, all of which have the same probability q of resulting in ""success."" ",2.2,
binary outcomes,"Outcomes whose unit can take on only two possible states, traditionally labeled as 0 and 1",2.2,
m-convolution,the addition of m independent random variables,2.2,
Poisson Distribution,a discrete probability distribution that expresses the probability of a given number of events occurring in a fixed interval of time or space if these events occur with a known constant rate and independently of the time since the last event,2.2,
Negative Binomial Distribution,the number of successes until we observe the rth failure in independent repetitions of an experiment with binary outcomes,2.2,
overdispersed,the presence of greater variability (statistical dispersion) in a data set than would be expected based on a given statistical model,2.2,
underdispersed,there was less variation in the data than predicted,2.2,
"(a, b, 0) Class","the Poisson, binomial and negative binomial distributions",2.3,
maximum likelihood estimator (MLE),the possible value of the parameter for which the chance of observing the data largest,2.4,
local extrema,the largest and smallest value of the function within a given range,2.4,
Central Limit Theorem (CLT),"in some situations, when independent random variables are added, their properly normalized sum tends toward a normal distribution even if the original variables themselves are not normally distributed",2.4,
robust,"resistant to errors in the results, produced by deviations from assumptions",2.4,
Newton’s method,a root-finding algorithm which produces successively better approximations to the roots of a real-valued function,2.4,
explanatory variables,"In regression, the explanatory variable is the one that is supposed to ""explain"" the other.",2.5,
regression analysis,a set of statistical processes for estimating the relationships among variables,2.5,
homogeneous,Units of exposure that face approximately the same expected frequency and severity of loss.,2.5,
"(a,b,1) class","A count distribution with probabilities satisfying p_k/p_{k-1}=a+b/k, for some some constants a and b and k>=2",2.5,
zero truncation,Zero modification of a count distribution such that it assigns zero probability to zero count ,2.5,
degenerate distribution,a deterministic distribution and takes only a single value,2.5,
mixture distribution,"The probability distribution of a random variable that is derived from a collection of other random variables as follows: first, a random variable is selected by chance from the collection according to given probabilities of selection, and then the value of the selected random variable is realized",2.6,
convex combination,a linear combination of points where all coefficients are non-negative and sum to 1,2.6,
convex function,A real-valued function defined on an interval is called convex if the line segment between any two points on the graph of the function lies above or on the graph.,2.6,
Goodness of Fit,The goodness of fit of a statistical model describes how well it fits a set of observations.,2.7,
Pearson’s chi-square test,a statistical test applied to sets of categorical data to evaluate how likely it is that any observed difference between the sets arose by chance,2.7,
chi-square distribution,the chi-squared distribution with k degrees of freedom is the distribution of a sum of the squares of k independent standard normal random variables,2.7,
multinomial,The multinomial distribution models the probability of counts for rolling a k-sided die n times,2.7,
aggregate losses,"aggregate claims, or total claims observed in the time period",3,
continuous random variable,random variable which can take infinitely many values in its specified domain,3,
mixture distribution,"a weighted average of other distributions, which may be continuous or discrete",3,
liability insurance,insurance that compensates an insured for loss due to legal liability towards others,3,
raw moment,the kth moment of a random variable X is the average (expected) value of X^k,3.1,
central moment,the kth central moment of a random variable X is the expected value of (X-its mean)^k,3.1,
percentile,the pth percentile of a random variable X is the smallest value x_p such that the probability of not exceeding it is p%,3.1,
variance,"second central moment of a random variable X, measuring the expected squared deviation of between the variable and its mean","2.1,3.1",
skewness,"measure of the symmetry of a distribution, 3rd central moment/standard deviation^3",3.1,
kurtosis,"measure of the peaked-ness of a distribution, 4th central moment/standard deviation^4",3.1,
median,"50th percentile of a definition, or middle value where half of the distribution lies below",3.1,
expected value,average,3.1,
exponential distribution,a single parameter continous probability distribution that is defined by its rate parameter,3.1,
independent,two variables are independent if conditional information given about one variable provides no information regarding the other variable,3.1,
chi-square distribution,a common distribution used in chi-square tests for determining goodness of fit of observed data to a theorized distribution,3.2,
light tailed distribution,a distribution with thinner tails than the benchmark exponential distribution,3.2,
Pareto distribution,a heavy-tailed and positively skewed distribution with 2 parameters,3.2,
hazard function,"ratio of the probability density function and the survival function: f(x)/S(x), and represents an instantaneous probability within a small time frame",3.2,
Weibull distribution,a positively skewed continuous distribution with 2 parameters that can have an increasing or decreasing hazard function depending on the shape parameter,3.2,
Generalized Beta distribution of the second kind,a 4-parameter flexible distribution that encompasses many common distributions,3.2,
parametric distributions,probability distribution defined by a fixed set of parameters,3.3,
transformation,a function or method that turns one distribution into another,3.3,
distribution function technique,a transformation technique that involves finding the CDF of the transformed distribution through its relation with the original CDF,3.3,
change-of-variable technique,a transformation technique that involves finding the PDF of the transformed distribution through its relation with the original PDF using inverse functions,3.3,
moment-generating function technique,a transformation technique that uses moment generating functions properties to determine the MGF of a linear combination of variables,3.3,
scale distribution,a distribution with the property that multiplying all values by a constant leads to the same distribution family with only the scale parameter changed,3.3,
lognormal distribution,"a heavy-tailed, positively skewed 2-parameter continuous distribution such that the natural log of the random variable is normally distributed with the same parameter values",3.3,
reliability data,a dataset consisting of failure times for failed units and run times for units still functioning,3.3,
power transformation,a transformation type that involves raising a random variable to a power,3.3,
exponential transformation,a transformation type that involves raising a random variable in the exponent,3.3,
mixing parameters,proportion weight given to each subpopulation in a mixture,3.3,
heterogeneous population,a dataset where the subpopulations are represented by separate distinct distributions,3.3,
finite mixture,a mixture distribution with a finite k number of subpopulations,3.3,
continuous mixture,"a mixture distribution with an infinite number of subpopulations, where the mixing parameter is itself a continuous distribution",3.3,
conditional distribution,a probability distribution that applies to a subpopulation satisfying the condition,3.3,
prior distribution,a probability distribution assigned prior to observing additional data,3.3,
unconditional distribution,a probability distribution independent of any another imposed conditions,3.3,
moral hazard,situation where an insured is more likely to be risk seeking if they do not bear sufficient consequences for a loss,3.4,
payment per loss,amount insurer pays when a loss occurs and can be 0,3.4,
payment per payment,amount insurer pays given a payment is needed and is greater than 0,3.4,
left censored,values below a threshold d are not ignored but converted to 0,3.4,
left truncated,values below a threshold d are not reported and unknown,3.4,
loss elimination ratio (ler),% decrease of the expected payment by the insurer as a result of the deductible,3.4,
franchise deductible,"insurer pays nothing for losses below the deductible, but pays the full amount for any loss above the deductible",3.4,
limit of coverage,"policy limit, or maximum contractual financial obligation of the insurer for a loss",3.4,
group insurance,insurance provided to groups of people to take advantage of lower administrative costs vs. individual policies,3.4,
growth factor,"multiplicative factor applied to a distribution to account for the impact of inflation, typically (1+rate)",3.4,
reinsurance,a transaction where the primary insurer buys insurance from a re-insurer who will cover part of the losses and/or loss adjustment expenses of the primary insurer,3.4,
cedent,party that is transferring the risk to a reinsurer,3.4,
excess of loss coverage,contract where an insurer pays all claims up to a specified amount and then the reinsurer pays claims in excess of stated reinsurance deductible,3.4,
retention,maximum amount payable by the primary insurer in a reinsurance arrangement ,3.4,
method of maximum likelihood,statistical method used to derive the parameter values from data that maximize the probability of observing the data given the parameters,3.5,
grouped data,"data bucketed into categories with ranges, such as for use in histograms or frequency tables",3.5,
large-sample properties,asymptotic properties of a distribution as the amount of data increases towards infinity,3.5,
asymptotic variance,variability of the distribution of an estimator as the amount of data increases towards infinity,3.5,
delta method,statistical method used to approximate the asymptotic variance for a function based on parameters whose asymptotic variance can be determined,3.5,
confidence interval,an interval constructed from data such that the probability this interval contains the true value of the parameter can be specified,3.5,
likelihood function,probability of the observed data as a function of the model parameters,3.5,
log-likelihood function,natural log of the likelihood function,3.5,
covariance matrix,"matrix where the (i,j)^th element represents the covariance between the ith and jth random variables",3.5,
complete,"data where each individual observation is known, and no values are censored, truncated, or grouped",3.5,
right censored variable,values above a threshold u are not ignored but converted to u,3.5,
=======,,,
indemnification,Indemnification is the compensation provided by the insurer.,,
insurance claim,"An insurance claim is the compensation provided by the insurer for incurred hurt, loss, or damage that is covered by the policy.",,
homeowners insurance,Homeowners insurance is an insurance policy that covers the contents and property of a building that is owned by you or a friend.,,
property insurance,"Property insurance is a policy that protects the insured against loss or damage to real or personal property. The cause of loss might be  fire, lightening, business interruption, loss of rents, glass breakage, tornado, windstorm, hail, water damage, explosion, riot, civil commotion, rain, or damage from aircraft or vehicles.",,
nonlife insurance,"Nonlife insurance is any type of insurance where payments are not based on the death (or survivorship) of a named insured. Examples include automobile, homeowners, and so on. Also known as property and casualty or general insurance.",,
ratemaking,,,
technical provisions,Technical provisions is another name for loss reserves.,,
experience rating,,,
merit rating,,,
cream skimming,,,
claims triage,,,
pure premium,"Pure premium is the total severity divided by the number of claims. It does not include insurance company expenses, premium taxes, contingencies, nor an allowance for profits. Also called loss costs. Some definitions include allocated loss adjustment expenses (ALAE).",,
rating variables,,,
deductible,"A deductible is a parameter specified in the contract. Typically, losses below the deductible are paid by the policyholder whereas losses in excess of the deductible are the insurer's responsibility (subject to policy limits and coninsurance).",,
policy limit,A policy limit is the maximum value covered by a policy.,,
personal lines,,,
dividend,A dividend is the refund of a portion of the premium paid by the insured from insurer surplus.,,
bonus,,,
prospective premiums,,,
Commercial line,Commercial line is insurance purchased by commercial ventures (businesses),,
line of business,A line of business is a classification of business written by insurers.,,
fraud detection,,,
life Insurance,Life insurance is a contract where the insurer promises to pay upon the death of an insured person. The person being paid is the beneficiary. ,,
capital allocation,,,
reinsurance,insurance purchased by an insurer,,
personal insurance,insurance purchased by a person,,
,,,
price,"A quantity, usually of money, that is exchanged for a good or service",7.1,
premium,The amount of money charged for insurance protection against contingent events.,7.1,
rate,"A rate is the price, or premium, charged per unit of exposure. A rate is a premium expressed in standardized units.",7.1,
rates,"A rate is the price, or premium, charged per unit of exposure. A rate is a premium expressed in standardized units.",7.1,
iid,Identically and independently distributed.,7.1,
,,,
loss cost,The sum of losses divided by an exposure; it is also known as the pure premium.,7.1,
loss ratio,The sum of losses divided by the premium.,7.1,
homogeneous risks,"Risks that have the same distribution, that is, the distributions are identical.",7.1,
heterogeneous risks,"Risks that have different distributions. Often, we can attribute differences to varying exposures or risk factors.",7.1,
heterogeneous,"Heterogeneous risks have different distributions. Often, we can attribute differences to varying exposures or risk factors.",7.1,
experience rating,Rating algorithms where one combines experience for an individual risk or class with other data to produce more stable and accurate estimates. Credibility theory provides an important example of these algorithms.,7.1,
,,,
rating factor,"A rating factor, or rating variable, is a characteristic of the policyholder or risk being insured by which rates vary.",7.4,
rating variable,"A rating factor, or rating variable, is a characteristic of the policyholder or risk being insured by which rates vary.",7.4,
exposure,"A type of rating variable that is so important that premiums and losses are often quoted on a ""per exposure"" basis. That is, premiums and losses are commonly standardized by exposure variables.",7.4,
profit loading,The required underwriting profit divided by premiums. ,7.2,
indicated rate,"In a rate filing, the amount that the loss experience suggests that the insurer should charge to cover costs.",7.2,
scale distribution,"Suppose that Y = c X, where X comes from a parametric distribution family and c is a positive constant. The distribution is said to be a scale distribution if (i) the distributions of Y and X come from the same family and (ii) only a single parameter differs and that by a factor of c.",7.4,
factor,A variable that varies by groups or categories.,7.4,
relativity,The difference of the expected risk between a specific level of a rating factor and an accepted baseline value. This difference may be arithmetic or proportional.,7.4,
claim,"The amount paid to an individual or corporation for the recovery, under a policy of insurance, for loss that comes within that policy.",7.5,
loss,"The amount of damages sustained by an individual or corporation, typically as the result of an insurable event.",7.5,
policy year,This is the period between a policy's anniversary dates.,,
written premium,The written premium is the contractually determined amount paid by the policyholder for the entire effective period of the contract for policies issued during the period in question.,7.5,
incurred but not reported,A claim is said to be incurred but not reported if the insured event occurs prior to a valuation date (and hence the insurer is liable for payment) but the event has not been reported to the insurer.,7.5,
closed,A claim is said to be closed when the company deems its financial obligations on the claim to be resolved.,7.5,
,,,
,,,
,,,
Lorenz curve,A graph of the proportion of a population on the horizontal axis and a distribution function of interest on the vertical axis.,7.6,
Gini index,The Gini index is twice the area between a Lorenz curve and a 45 degree line.,7.6,
concentration curve,"A concentration curve is a graph of the distribution of two variables, where both variables are ordered by only one of variables. For insurance applications, it is a graph of distribution of losses versus premiums, where both losses and premiums are ordered by premiums.",7.6,
community rating,This generally refers to the premium principle where all risks pay the same amount.,7.6,
=======,,,
variables,"A variable is any characteristics, number, or quantity that can be measured or counted.",14,
high dimensional,"Data set is high dimensional when it has many variables. In many applications, the number of variables may be larger than the sample size.",,
qualitative,"This is a type of variable in which the measurement denotes membership in a set of groups, or categories",,
categorical variable,Same as Qualitative variable.,,
nominal variable,This is a type of qualitative/ categorical variable which has two or more categories without having any kind of natural order.,,
ordinal variable,This is a type of qualitative/ categorical variable which has two or more ordered categories.,,
